Column1,pred,actual,Column2,Column3,B,R,bb,rb,Column4,,
221,1,1,TRUE,0.28,2.75,0.28,0.00,27.78,0.28,,
222,1,1,TRUE,0.34,2.27,0.34,0.00,33.90,0.34,,
224,1,1,TRUE,0.36,2.15,0.36,0.00,35.97,0.36,,
225,1,1,TRUE,0.38,2,0.38,0.00,37.74,0.38,,
227,0,1,FALSE,0.75,0.746268657,1.10,-100.00,0.00,0.75,,
228,1,1,TRUE,0.89,0.892857143,0.892857143,0.00,89.29,0.89,,
229,1,1,TRUE,0.26,3.15,0.26,0.00,26.32,0.26,,
230,0,1,FALSE,0.61,0.606060606,1.32,-100.00,0.00,0.61,,
232,0,0,TRUE,0.43,0.425531915,1.85,42.55,0.00,0.43,,
233,0,0,TRUE,0.36,0.35971223,2.25,35.97,0.00,0.36,,
234,0,0,TRUE,0.40,0.4,2.00,40.00,0.00,0.40,,
235,0,0,TRUE,0.32,0.317460318,2.3,31.75,0.00,0.32,,
236,1,1,TRUE,0.30,2.4,0.30,0.00,29.85,0.30,,
239,1,0,FALSE,0.88,0.917431193,0.88,0.00,-100.00,0.88,,
241,0,1,FALSE,0.72,0.71942446,1.10,-100.00,0.00,0.72,,
242,1,1,TRUE,0.22,3.3,0.22,0.00,21.98,0.22,,
243,1,0,FALSE,0.36,2.25,0.36,0.00,-100.00,0.36,,
244,0,0,TRUE,0.42,0.416666667,1.88,41.67,0.00,0.42,,
245,1,0,FALSE,0.07,7.5,0.07,0.00,-100.00,0.07,,
246,1,1,TRUE,0.43,1.8,0.43,0.00,43.48,0.43,,
247,1,1,TRUE,1.10,0.729927007,1.10,0.00,110.00,1.10,,
248,0,0,TRUE,0.89,0.892857143,0.892857143,89.29,0.00,0.89,,
249,0,0,TRUE,0.78,0.775193798,1.04,77.52,0.00,0.78,,
250,1,0,FALSE,0.85,0.943396226,0.847457627,0.00,-100.00,0.85,,
251,1,0,FALSE,0.18,3.87,0.18,0.00,-100.00,0.18,,
252,0,1,FALSE,0.89,0.892857143,0.94,-100.00,0.00,0.89,,
253,1,0,FALSE,0.33,2.4,0.33,0.00,-100.00,0.33,,
254,0,0,TRUE,0.70,0.699300699,1.15,69.93,0.00,0.70,,
255,0,0,TRUE,0.42,0.416666667,1.88,41.67,0.00,0.42,,
256,0,0,TRUE,0.81,0.806451613,1.00,80.65,0.00,0.81,,
258,0,0,TRUE,0.32,0.317460318,2.40,31.75,0.00,0.32,,
259,1,0,FALSE,0.35,2.25,0.35,0.00,-100.00,0.35,,
260,1,0,FALSE,0.60,1.3,0.60,0.00,-100.00,0.60,,
261,1,1,TRUE,0.94,0.847457627,0.94,0.00,94.34,0.94,,
262,1,1,TRUE,0.50,1.6,0.50,0.00,50.00,0.50,,
263,1,0,FALSE,1.15,0.709219858,1.15,0.00,-100.00,1.15,,
264,0,0,TRUE,0.65,0.64516129,1.25,64.52,0.00,0.65,,
265,1,1,TRUE,0.53,1.5,0.53,0.00,52.63,0.53,,
266,1,1,TRUE,0.50,1.6,0.50,0.00,50.00,0.50,,
268,1,1,TRUE,0.22,3.33,0.22,0.00,21.98,0.22,,
269,1,1,TRUE,0.42,1.88,0.416666667,0.00,41.67,0.42,,
270,0,1,FALSE,0.62,0.617283951,1.30,-100.00,0.00,0.62,,
271,1,1,TRUE,0.72,1.12,0.72,0.00,71.94,0.72,,
272,1,1,TRUE,0.21,3.4,0.208333333,0.00,20.83,0.21,,
273,1,1,TRUE,0.54,1.48,0.54,0.00,53.76,0.54,,
274,0,1,FALSE,0.28,0.277777778,2.75,-100.00,0.00,0.28,,
275,1,0,FALSE,0.62,1.3,0.62,0.00,-100.00,0.62,,
277,1,0,FALSE,0.62,1.3,0.62,0.00,-100.00,0.62,,
278,0,0,TRUE,0.40,0.4,2.00,40.00,0.00,0.40,,
279,1,0,FALSE,1.10,0.729927007,1.10,0.00,-100.00,1.10,,
280,1,1,TRUE,0.28,2.65,0.28,0.00,27.78,0.28,,
284,1,1,TRUE,1.45,0.54945055,1.45,0.00,145.00,1.45,,
286,1,1,TRUE,0.55,1.45,0.55,0.00,54.95,0.55,,
287,1,1,TRUE,0.08,7,0.08,0.00,8.00,0.08,,
288,1,1,TRUE,0.75,1.08,0.75,0.00,74.63,0.75,,
289,1,0,FALSE,0.38,2.05,0.38,0.00,-100.00,0.38,,
290,1,1,TRUE,0.36,2.2,0.36,0.00,35.97,0.36,,
291,1,1,TRUE,0.50,1.61,0.50,0.00,50.00,0.50,,
292,1,1,TRUE,0.36,2.2,0.36,0.00,35.97,0.36,,
294,1,1,TRUE,0.25,3,0.25,0.00,25.00,0.25,,
295,1,1,TRUE,0.22,3.2,0.22,0.00,21.98,0.22,,
296,1,1,TRUE,0.44,1.8,0.444444444,0.00,44.44,0.44,,
297,1,1,TRUE,0.89,0.892857143,0.892857143,0.00,89.29,0.89,,
298,1,0,FALSE,0.60,1.35,0.60,0.00,-100.00,0.60,,
299,1,1,TRUE,0.80,1,0.80,0.00,80.00,0.80,,
300,1,0,FALSE,0.48,1.65,0.476190476,0.00,-100.00,0.48,,
301,1,1,TRUE,0.60,1.35,0.60,0.00,59.88,0.60,,
302,1,1,TRUE,0.40,1.95,0.40,0.00,40.00,0.40,,
303,1,0,FALSE,0.30,2.5,0.30,0.00,-100.00,0.30,,
304,0,1,FALSE,0.47,0.465116279,1.70,-100.00,0.00,0.47,,
305,1,0,FALSE,1.35,0.598802395,1.35,0.00,-100.00,1.35,,
306,0,0,TRUE,0.50,0.5,1.60,50.00,0.00,0.50,,
307,0,0,TRUE,0.56,0.564971751,1.4,56.50,0.00,0.56,,
309,1,1,TRUE,0.80,1,0.80,0.00,80.00,0.80,,
310,1,1,TRUE,0.71,1.12,0.71,0.00,70.92,0.71,,
311,1,0,FALSE,0.80,1,0.80,0.00,-100.00,0.80,,
312,1,0,FALSE,0.29,2.6,0.289855073,0.00,-100.00,0.29,,
313,0,0,TRUE,0.29,0.289855073,2.60,28.99,0.00,0.29,,
314,1,0,FALSE,0.62,1.3,0.62,0.00,-100.00,0.62,,
315,1,1,TRUE,0.48,1.65,0.476190476,0.00,47.62,0.48,,
316,1,1,TRUE,0.67,1.2,0.67,0.00,66.67,0.67,,
317,1,0,FALSE,0.60,1.35,0.60,0.00,-100.00,0.60,,
318,1,1,TRUE,0.14,4.75,0.14,0.00,13.99,0.14,,
319,1,1,TRUE,0.42,1.9,0.416666667,0.00,41.67,0.42,,
320,1,1,TRUE,0.48,1.7,0.476190476,0.00,47.62,0.48,,
321,1,1,TRUE,0.47,1.75,0.465116279,0.00,46.51,0.47,,
322,1,0,FALSE,1.75,0.465116279,1.75,0.00,-100.00,1.75,,
323,1,1,TRUE,0.13,5,0.13,0.00,12.99,0.13,,
324,1,0,FALSE,0.63,1.29,0.63,0.00,-100.00,0.63,,
325,0,0,TRUE,0.75,0.746268657,1.08,74.63,0.00,0.75,,
326,1,1,TRUE,0.47,1.7,0.465116279,0.00,46.51,0.47,,
327,1,1,TRUE,0.56,1.45,0.56,0.00,56.50,0.56,,
328,1,1,TRUE,0.89,0.892857143,0.892857143,0.00,89.29,0.89,,
329,1,1,TRUE,0.56,1.42,0.56,0.00,55.56,0.56,,
331,1,0,FALSE,0.62,1.3,0.62,0.00,-100.00,0.62,,
333,1,1,TRUE,0.32,2.35,0.317460318,0.00,31.75,0.32,,
334,1,1,TRUE,0.33,2.35,0.33,0.00,32.79,0.33,,
336,1,0,FALSE,0.40,1.95,0.40,0.00,-100.00,0.40,,
337,0,1,FALSE,0.33,0.327868853,2.3,-100.00,0.00,0.33,,
339,1,0,FALSE,0.22,3.25,0.22,0.00,-100.00,0.22,,
340,1,1,TRUE,0.36,2.15,0.36,0.00,35.97,0.36,,
341,1,1,TRUE,0.57,1.38,0.57,0.00,57.14,0.57,,
342,1,0,FALSE,0.94,0.877192983,0.94,0.00,-100.00,0.94,,
343,1,1,TRUE,0.25,3.25,0.25,0.00,25.00,0.25,,
345,1,1,TRUE,0.63,1.4,0.63,0.00,62.50,0.63,,
346,1,1,TRUE,0.77,1.1,0.77,0.00,76.92,0.77,,
347,0,1,FALSE,0.42,0.416666667,2.00,-100.00,0.00,0.42,,
348,0,0,TRUE,0.43,0.425531915,1.95,42.55,0.00,0.43,,
349,0,1,FALSE,0.48,0.476190476,1.75,-100.00,0.00,0.48,,
350,1,1,TRUE,1.00,0.833333333,1.00,0.00,100.00,1.00,,
352,1,0,FALSE,0.29,2.8,0.29,0.00,-100.00,0.29,,
353,1,0,FALSE,0.80,1.05,0.80,0.00,-100.00,0.80,,
354,0,1,FALSE,0.54,0.540540541,1.60,-100.00,0.00,0.54,,
355,0,0,TRUE,0.77,0.769230769,1.20,76.92,0.00,0.77,,
356,0,0,TRUE,0.43,0.434782609,2.10,43.48,0.00,0.43,,
358,1,1,TRUE,0.45,2,0.45,0.00,45.45,0.45,,
359,1,1,TRUE,0.60,1.57,0.60,0.00,59.88,0.60,,
360,1,1,TRUE,0.30,3.05,0.30,0.00,29.85,0.30,,
361,1,1,TRUE,0.13,6.35,0.13,0.00,12.50,0.13,,
362,1,1,TRUE,0.17,4.85,0.17,0.00,17.39,0.17,,
363,1,1,TRUE,0.74,1.25,0.74,0.00,74.07,0.74,,
364,1,0,FALSE,0.54,1.7,0.54,0.00,-100.00,0.54,,
365,1,1,TRUE,0.17,4.5,0.166666667,0.00,16.67,0.17,,
366,1,0,FALSE,1.20,0.714285714,1.20,0.00,-100.00,1.20,,
367,1,1,TRUE,0.87,0.952380952,0.87,0.00,86.96,0.87,,
368,1,1,TRUE,0.74,1.15,0.74,0.00,74.07,0.74,,
369,0,0,TRUE,0.20,0.2,4.00,20.00,0.00,0.20,,
370,0,1,FALSE,0.51,0.512820513,1.68,-100.00,0.00,0.51,,
371,1,1,TRUE,0.77,1.1,0.77,0.00,76.92,0.77,,
372,1,1,TRUE,0.40,2.1,0.40,0.00,40.00,0.40,,
373,1,0,FALSE,0.57,1.55,0.57,0.00,-100.00,0.57,,
374,0,0,TRUE,0.74,0.740740741,1.15,74.07,0.00,0.74,,
377,1,0,FALSE,0.59,1.5,0.59,0.00,-100.00,0.59,,
378,0,0,TRUE,0.87,0.869565217,0.952380952,86.96,0.00,0.87,,
379,1,1,TRUE,0.77,1.1,0.77,0.00,76.92,0.77,,
380,1,1,TRUE,0.28,3,0.28,0.00,27.78,0.28,,
381,1,1,TRUE,0.24,3.35,0.238095238,0.00,23.81,0.24,,
382,0,1,FALSE,0.77,0.769230769,1.10,-100.00,0.00,0.77,,
384,1,1,TRUE,0.85,0.970873786,0.85,0.00,85.47,0.85,,
385,1,0,FALSE,0.62,1.42,0.62,0.00,-100.00,0.62,,
386,0,0,TRUE,0.37,0.37037037,2.3,37.04,0.00,0.37,,
387,1,1,TRUE,0.91,0.909090909,0.91,0.00,90.91,0.91,,
389,1,1,TRUE,0.39,2.15,0.39,0.00,39.22,0.39,,
391,1,1,TRUE,0.95,0.952380952,0.952380952,0.00,95.24,0.95,,
392,1,1,TRUE,0.50,1.7,0.50,0.00,50.00,0.50,,
393,1,1,TRUE,0.65,0.64516129,0.65,0.00,64.52,0.65,,
394,1,1,TRUE,0.91,0.909090909,0.91,0.00,90.91,0.91,,
395,1,1,TRUE,0.24,3.35,0.238095238,0.00,23.81,0.24,,
397,1,1,TRUE,0.54,1.6,0.54,0.00,54.05,0.54,,
399,1,0,FALSE,0.57,1.55,0.57,0.00,-100.00,0.57,,
400,0,1,FALSE,0.76,0.757575758,1.12,-100.00,0.00,0.76,,
402,1,1,TRUE,0.59,1.5,0.59,0.00,58.82,0.59,,
403,0,1,FALSE,0.67,0.666666667,1.30,-100.00,0.00,0.67,,
406,0,0,TRUE,0.54,0.540540541,1.60,54.05,0.00,0.54,,
407,1,0,FALSE,0.50,1.7,0.50,0.00,-100.00,0.50,,
408,1,1,TRUE,0.63,1.4,0.63,0.00,62.50,0.63,,
409,1,1,TRUE,0.34,2.45,0.34,0.00,34.48,0.34,,
410,1,1,TRUE,0.65,1.35,0.65,0.00,64.52,0.65,,
411,1,1,TRUE,0.24,3.35,0.238095238,0.00,23.81,0.24,,
412,1,1,TRUE,0.74,1.15,0.74,0.00,74.07,0.74,,
413,1,1,TRUE,2.70,0.303030303,2.70,0.00,270.00,2.70,,
414,1,1,TRUE,0.65,1.35,0.65,0.00,64.52,0.65,,
415,0,1,FALSE,0.74,0.740740741,1.15,-100.00,0.00,0.74,,
416,1,0,FALSE,0.56,1.58,0.56,0.00,-100.00,0.56,,
417,1,1,TRUE,0.44,1.85,0.444444444,0.00,44.44,0.44,,
419,0,0,TRUE,0.40,0.4,2.10,40.00,0.00,0.40,,
420,1,1,TRUE,0.50,1.7,0.50,0.00,50.00,0.50,,
421,1,0,FALSE,0.69,1.35,0.69,0.00,-100.00,0.69,,
423,1,1,TRUE,0.29,3.15,0.289855073,0.00,28.99,0.29,,
426,1,0,FALSE,0.67,1.4,0.67,0.00,-100.00,0.67,,
427,1,1,TRUE,0.29,3.15,0.289855073,0.00,28.99,0.29,,
428,1,1,TRUE,0.82,1.12,0.82,0.00,81.97,0.82,,
429,1,0,FALSE,0.71,1.3,0.714285714,0.00,-100.00,0.71,,
430,1,0,FALSE,0.91,1,0.91,0.00,-100.00,0.91,,
432,1,1,TRUE,0.38,2.4,0.38,0.00,38.46,0.38,,
433,1,1,TRUE,0.54,1.7,0.54,0.00,54.05,0.54,,
435,0,1,FALSE,0.60,0.598802395,1.57,-100.00,0.00,0.60,,
436,1,1,TRUE,0.80,1.15,0.80,0.00,80.00,0.80,,
437,1,1,TRUE,0.30,3,0.30,0.00,30.30,0.30,,
439,1,1,TRUE,0.18,4.8,0.175438597,0.00,17.54,0.18,,
440,0,1,FALSE,0.74,0.740740741,1.25,-100.00,0.00,0.74,,
441,1,0,FALSE,0.59,1.6,0.59,0.00,-100.00,0.59,,
442,1,1,TRUE,0.83,1.1,0.83,0.00,83.33,0.83,,
443,1,0,FALSE,0.67,1.3,0.67,0.00,-100.00,0.67,,
444,0,1,FALSE,5.85,5.85,0.11,-100.00,0.00,5.85,,
445,0,0,TRUE,0.44,0.444444444,1.85,44.44,0.00,0.44,,
446,1,1,TRUE,0.41,2.05,0.408163265,0.00,40.82,0.41,,
447,1,1,TRUE,0.21,3.8,0.21,0.00,21.05,0.21,,
449,1,1,TRUE,1.10,0.769230769,1.10,0.00,110.00,1.10,,
