,pred,pred_round,valid,D,H,A,valid_rai,raw_rai
233,0.725609756097561,1,0,5.0,7.0,1.4,7.0,-100.0
234,1.0541666666666667,1,1,3.9,1.72,4.5,1.72,72.0
235,0.9411764705882353,1,2,4.33,1.53,6.0,1.53,-100.0
236,1.3375,1,2,5.0,1.4,7.5,1.4,-100.0
237,1.29375,1,0,4.75,1.36,9.0,1.36,-100.0
238,1.075,1,0,3.8,5.75,1.61,5.75,-100.0
239,1.075,1,0,5.5,8.5,1.33,8.5,-100.0
240,0.9411764705882353,1,1,3.6,2.5,2.7,2.5,150.0
241,1.0541666666666667,1,2,3.6,2.1,3.3,2.1,-100.0
242,1.0541666666666667,1,0,3.1,3.1,2.5,3.1,-100.0
243,1.6125,2,2,6.0,1.25,12.0,12.0,1100.0
244,1.29375,1,1,3.4,2.2,3.3,2.2,120.00000000000003
245,0.47619047619047616,0,0,3.3,2.75,2.62,3.3,230.0
246,1.075,1,1,3.3,2.6,2.75,2.6,160.0
247,1.29375,1,1,3.25,2.25,3.4,2.25,125.0
248,1.0541666666666667,1,1,3.6,3.6,2.0,3.6,260.0
249,1.3375,1,2,4.6,5.5,1.53,5.5,-100.0
250,0.9411764705882353,1,2,3.8,1.61,6.0,1.61,-100.0
251,1.0541666666666667,1,1,3.4,2.1,3.6,2.1,110.0
252,0.725609756097561,1,2,3.6,1.66,5.75,1.66,-100.0
253,1.075,1,1,3.3,2.5,2.87,2.5,150.0
254,0.725609756097561,1,0,3.8,1.75,4.75,1.75,-100.0
255,0.725609756097561,1,0,6.25,11.0,1.25,11.0,-100.0
256,1.0541666666666667,1,0,3.8,4.0,1.85,4.0,-100.0
257,1.475,1,2,4.75,1.4,8.0,1.4,-100.0
258,1.0541666666666667,1,0,3.5,1.85,4.5,1.85,-100.0
259,1.6625,2,2,9.5,1.12,17.0,17.0,1600.0
260,1.0541666666666667,1,2,4.0,1.72,4.5,1.72,-100.0
261,1.0541666666666667,1,2,3.3,2.1,3.7,2.1,-100.0
262,1.0541666666666667,1,2,3.4,1.95,4.2,1.95,-100.0
263,0.725609756097561,1,1,3.4,1.95,4.2,1.95,95.0
264,0.725609756097561,1,2,4.33,1.61,5.0,1.61,-100.0
265,0.9411764705882353,1,0,4.2,4.5,1.7,4.5,-100.0
266,1.29375,1,2,3.9,1.6,6.0,1.6,-100.0
267,1.075,1,2,4.2,1.5,7.0,1.5,-100.0
268,1.475,1,2,3.6,2.0,3.7,2.0,-100.0
269,1.6125,2,2,8.0,1.16,15.0,15.0,1400.0
270,0.725609756097561,1,2,4.1,4.33,1.72,4.33,-100.0
271,1.0541666666666667,1,0,3.25,2.05,3.9,2.05,-100.0
272,1.0541666666666667,1,1,3.8,4.75,1.72,4.75,375.0
273,1.29375,1,1,3.1,2.62,2.9,2.62,162.0
274,1.075,1,2,3.6,2.65,2.5,2.65,-100.0
275,0.47619047619047616,0,2,4.75,8.0,1.4,4.75,-100.0
276,0.9411764705882353,1,1,3.25,2.5,2.9,2.5,150.0
277,1.3375,1,0,3.2,2.45,3.0,2.45,-100.0
278,1.6125,2,2,6.5,1.22,13.0,13.0,1200.0
279,1.475,1,2,4.4,1.57,5.5,1.57,-100.0
280,1.0541666666666667,1,2,3.2,2.55,2.9,2.55,-100.0
281,0.725609756097561,1,2,3.75,1.65,5.75,1.65,-100.0
282,0.725609756097561,1,0,4.1,1.61,5.25,1.61,-100.0
283,1.075,1,1,3.9,1.61,5.75,1.61,61.0
284,1.0541666666666667,1,1,3.3,2.7,2.62,2.7,170.0
285,1.0541666666666667,1,2,3.9,1.8,4.2,1.8,-100.0
286,1.29375,1,2,4.33,5.0,1.6,5.0,-100.0
287,0.9411764705882353,1,2,5.25,1.36,8.0,1.36,-100.0
288,1.0541666666666667,1,1,3.4,3.2,2.25,3.2,220.0
289,1.6625,2,2,5.25,1.36,7.5,7.5,650.0
290,0.725609756097561,1,0,3.5,2.8,2.45,2.8,-100.0
291,1.3375,1,1,3.4,3.0,2.37,3.0,200.0
292,0.47619047619047616,0,1,3.5,3.6,2.05,3.5,-100.0
293,1.0541666666666667,1,2,3.25,3.1,2.37,3.1,-100.0
294,1.075,1,0,3.4,3.6,2.1,3.6,-100.0
295,1.0541666666666667,1,0,3.2,2.45,3.0,2.45,-100.0
296,1.29375,1,2,3.1,3.3,2.37,3.3,-100.0
297,1.0541666666666667,1,0,4.5,6.0,1.5,6.0,-100.0
298,0.9411764705882353,1,1,4.2,6.0,1.55,6.0,500.0
299,1.6625,2,2,9.0,1.12,15.0,15.0,1400.0
300,0.9411764705882353,1,1,4.0,1.6,5.75,1.6,60.0
301,1.3375,1,2,4.0,1.66,5.0,1.66,-100.0
302,1.29375,1,2,4.5,1.4,8.5,1.4,-100.0
303,1.29375,1,1,3.3,2.3,3.2,2.3,129.99999999999997
304,0.725609756097561,1,0,3.6,3.9,1.9,3.9,-100.0
305,1.075,1,2,4.0,1.55,6.0,1.55,-100.0
306,1.6125,2,2,6.5,1.22,13.0,13.0,1200.0
307,1.0541666666666667,1,2,3.25,3.0,2.45,3.0,-100.0
308,0.725609756097561,1,0,3.5,2.6,2.62,2.6,-100.0
309,1.0541666666666667,1,2,4.0,4.0,1.8,4.0,-100.0
310,1.0541666666666667,1,0,3.7,4.6,1.75,4.6,-100.0
311,0.47619047619047616,0,0,3.3,2.5,2.87,3.3,230.0
312,1.0541666666666667,1,0,3.2,2.25,3.4,2.25,-100.0
313,1.0541666666666667,1,0,3.8,6.0,1.61,6.0,-100.0
314,1.475,1,2,4.75,1.44,7.0,1.44,-100.0
315,1.0541666666666667,1,0,3.1,2.4,3.2,2.4,-100.0
316,0.9411764705882353,1,2,3.3,2.5,2.9,2.5,-100.0
317,1.075,1,2,4.33,5.5,1.57,5.5,-100.0
318,0.725609756097561,1,2,3.4,4.2,1.95,4.2,-100.0
319,1.6625,2,2,3.9,2.05,3.3,3.3,230.0
320,0.725609756097561,1,0,3.4,3.3,2.2,3.3,-100.0
321,0.9411764705882353,1,2,3.6,1.66,5.75,1.66,-100.0
322,1.29375,1,2,7.5,1.16,17.0,1.16,-100.0
323,1.075,1,0,3.4,2.25,3.25,2.25,-100.0
324,1.0541666666666667,1,2,4.75,1.4,8.0,1.4,-100.0
325,1.0541666666666667,1,1,3.0,2.9,2.7,2.9,190.0
326,1.29375,1,1,3.3,2.6,2.75,2.6,160.0
327,1.6125,2,2,5.5,1.33,8.5,8.5,750.0
328,0.725609756097561,1,2,6.0,8.5,1.3,8.5,-100.0
329,1.3375,1,2,3.5,2.1,3.4,2.1,-100.0
330,1.0541666666666667,1,0,4.5,8.5,1.4,8.5,-100.0
331,0.47619047619047616,0,2,3.75,1.7,5.0,3.75,-100.0
332,1.475,1,1,3.5,2.3,3.0,2.3,129.99999999999997
333,1.6625,2,2,9.0,1.12,21.0,21.0,2000.0
334,0.725609756097561,1,2,3.2,3.8,2.1,3.8,-100.0
335,1.075,1,0,3.4,2.0,3.9,2.0,-100.0
336,1.0541666666666667,1,0,4.33,6.0,1.53,6.0,-100.0
337,1.0541666666666667,1,1,3.8,5.25,1.66,5.25,425.0
338,0.9411764705882353,1,1,3.5,2.05,3.6,2.05,104.99999999999997
339,1.0541666666666667,1,0,5.25,9.0,1.33,9.0,-100.0
340,0.725609756097561,1,0,3.75,3.75,1.95,3.75,-100.0
341,0.47619047619047616,0,2,3.6,1.8,4.5,3.6,-100.0
342,1.6125,2,1,6.5,1.22,12.0,12.0,-100.0
343,0.725609756097561,1,2,3.8,6.0,1.6,6.0,-100.0
344,1.0541666666666667,1,0,5.5,10.0,1.28,10.0,-100.0
345,1.075,1,2,3.3,2.05,3.8,2.05,-100.0
346,1.0541666666666667,1,2,3.3,2.25,3.3,2.25,-100.0
347,1.3375,1,2,3.4,2.62,2.7,2.62,-100.0
348,1.0541666666666667,1,2,3.8,5.25,1.66,5.25,-100.0
349,1.29375,1,1,5.5,1.3,10.0,1.3,30.0
350,1.0541666666666667,1,2,9.5,1.12,17.0,1.12,-100.0
351,1.0541666666666667,1,1,3.3,4.5,1.9,4.5,350.0
352,1.6625,2,2,8.5,1.14,17.0,17.0,1600.0
353,1.29375,1,0,3.8,4.6,1.75,4.6,-100.0
354,1.475,1,2,3.8,3.8,1.9,3.8,-100.0
355,0.9411764705882353,1,1,3.5,2.0,3.75,2.0,100.0
356,0.9411764705882353,1,2,3.25,2.05,3.9,2.05,-100.0
357,1.0541666666666667,1,0,4.75,9.5,1.36,9.5,-100.0
358,0.725609756097561,1,1,3.3,2.15,3.5,2.15,115.0
359,1.075,1,2,3.0,2.4,3.3,2.4,-100.0
360,0.725609756097561,1,0,3.4,3.2,2.25,3.2,-100.0
361,1.0541666666666667,1,0,3.6,2.4,2.8,2.4,-100.0
362,1.3375,1,2,3.3,2.25,3.25,2.25,-100.0
363,1.0541666666666667,1,1,3.4,1.9,4.33,1.9,90.0
364,0.725609756097561,1,0,3.25,2.2,3.5,2.2,-100.0
365,1.075,1,2,4.0,1.5,7.5,1.5,-100.0
366,0.47619047619047616,0,0,5.5,8.5,1.33,5.5,450.0
367,1.0541666666666667,1,2,3.6,3.3,2.1,3.3,-100.0
368,1.29375,1,1,6.5,1.22,11.0,1.22,22.0
369,1.6125,2,2,3.75,2.0,3.5,3.5,250.0
370,1.475,1,2,3.8,1.9,3.8,1.9,-100.0
371,1.0541666666666667,1,0,3.4,2.37,3.0,2.37,-100.0
372,1.0541666666666667,1,2,3.8,1.85,4.0,1.85,-100.0
373,1.0541666666666667,1,1,4.2,6.0,1.55,6.0,500.0
374,0.9411764705882353,1,0,3.7,2.25,3.0,2.25,-100.0
375,0.9411764705882353,1,0,3.5,3.25,2.2,3.25,-100.0
376,1.6625,2,2,11.0,1.08,26.0,26.0,2500.0
377,1.29375,1,0,5.25,7.5,1.36,7.5,-100.0
378,0.725609756097561,1,2,3.5,2.15,3.3,2.15,-100.0
379,1.075,1,1,3.6,3.0,2.3,3.0,200.0
